"ABC-343", "A", "B", "C"
"ABC-344", "A", "B", "C"
"ABC-345", "A", "B", "C"
"ABC-346", "A", "B", "C"
"ABC-347", "A", "B", "C"
"ABC-348", "A", "B", "C"
"ABC-349", "A", "B", "C"
"ABC-350", "A", "B"
"ABC-351", "A", "B"
"ABC-352", "A", "B"
"ABC-353", "A", "B"
"ABC-354", "A", "B"
"ABC-355", "A", "B"
"ABC-356", "A", "B"
"ABC-357", "A", "B"
"ABC-358", "A", "B"
"ABC-359", "A", "B"
"ABC-360", "A", "B"
"ABC-361", "A", "B"
"ABC-362", "A", "B"
"ABC-363", "A", "B"
"ABC-364", "A", "B"
"ABC-365", "A", "B"
"ABC-366", "A", "B"
"ABC-367", "A", "B", "C"
"ABC-368", "A", "B", "C"
"ABC-369", "A", "B"
"ABC-370", "A", "B", "C"
"ABC-371", "A", "B"
"ABC-372", "A", "B", "C"
"ABC-373", "A", "C"
"ABC-374", "A", "B", "C"
"ABC-375", "A", "B"
"ABC-376", "A", "B", "C"
"ABC-377", "A", "B", "C"
"ABC-378", "A", "B", "C"
"ABC-379", "A", "B"
"ABC-380", "A", "B", "C"
"ABC-381", "A", "B", "C"
"ABC-382", "A", "B"
"ABC-383", "A", "B"
"ABC-384", "A", "B", "C"
"ABC-385", "A", "B"
"ABC-386", "A", "B"
"ABC-387", "A", "B"
"ABC-388", "A", "B", "C"
"ABC-389", "A", "B"
"ABC-390", "A", "B"
"ABC-391", "A", "B"
"ABC-392", "A", "B"
"ABC-393", "A", "B"
"ABC-394", "A", "B"
"ABC-395", "A", "B"
"ABC-396", "A", "B"
"ABC-397", "A", "B"
"ABC-398", "A", "B"
"ABC-399", "A", "B"
"ABC-400", "A", "B"
"ABC-401", "A", "B"
"ABC-402", "A", "B"
"ABC-403", "A", "B"
"ABC-404", "A", "B"
"ABC-405", "A", "B"
"ABC-406", "A", "B"
"ABC-407", "A", "B"
"ABC-408", "A", "B", "C"
"ABC-409", "A", "B"
"ABC-410", "A", "B"
"ABC-411", "A", "B"
"ABC-412", "A", "B"
"ABC-413", "A", "B"
"ABC-414", "A", "B"
"ABC-415", "A", "B"
"ABC-422", "A", "B"
"ABC-423", "A", "B"
"ABC-424", "A", "B"
"ABC-425", "A", "B"
"ABC-426", "A", "B"
"ABC-427", "A", "B"
"ABC-431", "A", "B"
"ABC-432", "A", "B"
"ABC-433", "A", "B"
"ABC-434", "A", "B"
"ABC-435", "A", "B"
"ABC-436", "A", "B"
"ABC-437", "A", "B"
"ABC-438", "A", "B"
"ABC-439", "A", "B"
"ABC-440", "A", "B"
"ABC-441", "A", "B"
"ABC-442", "A", "B", "C"
"ABC-443", "A", "B", "C"
"ABC-444", "A", "B", "C"
"ABC-445", "A", "B", "C"
